Date,Year,Month,Day,category,Forecasted_Amount,Actual_Amount,SalesAndforecast_difference,PRoduct_Sales_Condition
2023-02-22,2023,February,Wednesday,Labor,186,203,17,Above_Forecast
2023-02-22,2023,February,Wednesday,Rent,361,338,-23,Below_Forecast
2023-02-22,2023,February,Wednesday,Utilities,141,133,-8,Below_Forecast
2023-02-22,2023,February,Wednesday,Marketing,469,455,-14,Below_Forecast
2023-02-23,2023,February,Thursday,"Coffee Sales",887,924,37,Above_Forecast
2023-02-23,2023,February,Thursday,"Food Sales",943,975,32,Above_Forecast
2023-02-23,2023,February,Thursday,"Ingredients Cost",294,284,-10,Below_Forecast
2023-02-23,2023,February,Thursday,Labor,200,184,-16,Below_Forecast
2023-02-23,2023,February,Thursday,Rent,222,216,-6,Below_Forecast
2023-02-23,2023,February,Thursday,Utilities,323,315,-8,Below_Forecast
2023-02-23,2023,February,Thursday,Marketing,360,374,14,Above_Forecast
2023-02-24,2023,February,Friday,"Coffee Sales",570,537,-33,Below_Forecast
2023-02-24,2023,February,Friday,"Food Sales",718,659,-59,Below_Forecast
2023-02-24,2023,February,Friday,"Ingredients Cost",411,405,-6,Below_Forecast
2023-02-24,2023,February,Friday,Labor,154,157,3,Above_Forecast
2023-02-24,2023,February,Friday,Rent,150,152,2,Above_Forecast
2023-02-24,2023,February,Friday,Utilities,269,285,16,Above_Forecast
2023-02-24,2023,February,Friday,Marketing,134,141,7,Above_Forecast
2023-02-25,2023,February,Saturday,"Coffee Sales",834,822,-12,Below_Forecast
2023-02-25,2023,February,Saturday,"Food Sales",592,611,19,Above_Forecast
2023-02-25,2023,February,Saturday,"Ingredients Cost",344,366,22,Above_Forecast
2023-02-25,2023,February,Saturday,Labor,471,425,-46,Below_Forecast
2023-02-25,2023,February,Saturday,Rent,371,343,-28,Below_Forecast
2023-02-25,2023,February,Saturday,Utilities,121,119,-2,Below_Forecast
2023-02-25,2023,February,Saturday,Marketing,364,386,22,Above_Forecast
2023-02-26,2023,February,Sunday,"Coffee Sales",382,405,23,Above_Forecast
2023-02-26,2023,February,Sunday,"Food Sales",906,834,-72,Below_Forecast
2023-02-26,2023,February,Sunday,"Ingredients Cost",292,312,20,Above_Forecast
2023-02-26,2023,February,Sunday,Labor,280,257,-23,Below_Forecast
2023-02-26,2023,February,Sunday,Rent,290,269,-21,Below_Forecast
2023-02-26,2023,February,Sunday,Utilities,413,428,15,Above_Forecast
2023-02-26,2023,February,Sunday,Marketing,327,315,-12,Below_Forecast
2023-02-27,2023,February,Monday,"Coffee Sales",414,426,12,Above_Forecast
2023-02-27,2023,February,Monday,"Food Sales",312,324,12,Above_Forecast
2023-02-27,2023,February,Monday,"Ingredients Cost",433,432,-1,Below_Forecast
2023-02-27,2023,February,Monday,Labor,295,294,-1,Below_Forecast
2023-02-27,2023,February,Monday,Rent,351,330,-21,Below_Forecast
2023-02-27,2023,February,Monday,Utilities,383,407,24,Above_Forecast
2023-02-27,2023,February,Monday,Marketing,222,242,20,Above_Forecast
2023-02-28,2023,February,Tuesday,"Coffee Sales",661,649,-12,Below_Forecast
2023-02-28,2023,February,Tuesday,"Food Sales",996,1074,78,Above_Forecast
2023-02-28,2023,February,Tuesday,"Ingredients Cost",484,452,-32,Below_Forecast
2023-02-28,2023,February,Tuesday,Labor,339,367,28,Above_Forecast
2023-02-28,2023,February,Tuesday,Rent,368,362,-6,Below_Forecast
2023-02-28,2023,February,Tuesday,Utilities,420,425,5,Above_Forecast
2023-02-28,2023,February,Tuesday,Marketing,479,503,24,Above_Forecast
2023-03-01,2023,March,Wednesday,"Coffee Sales",534,528,-6,Below_Forecast
2023-03-01,2023,March,Wednesday,"Food Sales",328,345,17,Above_Forecast
2023-03-01,2023,March,Wednesday,"Ingredients Cost",416,387,-29,Below_Forecast
2023-03-01,2023,March,Wednesday,Labor,448,447,-1,Below_Forecast
2023-03-01,2023,March,Wednesday,Rent,157,145,-12,Below_Forecast
2023-03-01,2023,March,Wednesday,Utilities,205,193,-12,Below_Forecast
2023-03-01,2023,March,Wednesday,Marketing,251,269,18,Above_Forecast
2023-03-02,2023,March,Thursday,"Coffee Sales",256,264,8,Above_Forecast
2023-03-02,2023,March,Thursday,"Food Sales",590,545,-45,Below_Forecast
2023-03-02,2023,March,Thursday,"Ingredients Cost",239,244,5,Above_Forecast
2023-03-02,2023,March,Thursday,Labor,432,435,3,Above_Forecast
2023-03-02,2023,March,Thursday,Rent,216,230,14,Above_Forecast
2023-03-02,2023,March,Thursday,Utilities,294,267,-27,Below_Forecast
2023-03-02,2023,March,Thursday,Marketing,411,409,-2,Below_Forecast
2023-03-03,2023,March,Friday,"Coffee Sales",762,728,-34,Below_Forecast
2023-03-03,2023,March,Friday,"Food Sales",923,915,-8,Below_Forecast
2023-03-03,2023,March,Friday,"Ingredients Cost",245,258,13,Above_Forecast
2023-03-03,2023,March,Friday,Labor,181,169,-12,Below_Forecast
2023-03-03,2023,March,Friday,Rent,314,301,-13,Below_Forecast
2023-03-03,2023,March,Friday,Utilities,344,338,-6,Below_Forecast
2023-03-03,2023,March,Friday,Marketing,133,139,6,Above_Forecast
2023-03-04,2023,March,Saturday,"Coffee Sales",267,285,18,Above_Forecast
2023-03-04,2023,March,Saturday,"Food Sales",330,329,-1,Below_Forecast
2023-03-04,2023,March,Saturday,"Ingredients Cost",320,346,26,Above_Forecast
2023-03-04,2023,March,Saturday,Labor,454,490,36,Above_Forecast
2023-03-04,2023,March,Saturday,Rent,450,425,-25,Below_Forecast
2023-03-04,2023,March,Saturday,Utilities,345,373,28,Above_Forecast
2023-03-04,2023,March,Saturday,Marketing,191,188,-3,Below_Forecast
2023-03-05,2023,March,Sunday,"Coffee Sales",614,662,48,Above_Forecast
2023-03-05,2023,March,Sunday,"Food Sales",389,408,19,Above_Forecast
2023-03-05,2023,March,Sunday,"Ingredients Cost",342,322,-20,Below_Forecast
2023-03-05,2023,March,Sunday,Labor,431,437,6,Above_Forecast
2023-03-05,2023,March,Sunday,Rent,225,241,16,Above_Forecast
2023-03-05,2023,March,Sunday,Utilities,380,344,-36,Below_Forecast
2023-03-05,2023,March,Sunday,Marketing,210,226,16,Above_Forecast
2023-03-06,2023,March,Monday,"Coffee Sales",778,849,71,Above_Forecast
2023-03-06,2023,March,Monday,"Food Sales",338,356,18,Above_Forecast
2023-03-06,2023,March,Monday,"Ingredients Cost",277,275,-2,Below_Forecast
2023-03-06,2023,March,Monday,Labor,151,165,14,Above_Forecast
2023-03-06,2023,March,Monday,Rent,315,316,1,Above_Forecast
2023-03-06,2023,March,Monday,Utilities,484,526,42,Above_Forecast
2023-03-06,2023,March,Monday,Marketing,469,468,-1,Below_Forecast
2023-03-07,2023,March,Tuesday,"Coffee Sales",872,855,-17,Below_Forecast
2023-03-07,2023,March,Tuesday,"Food Sales",464,438,-26,Below_Forecast
2023-03-07,2023,March,Tuesday,"Ingredients Cost",218,217,-1,Below_Forecast
2023-03-07,2023,March,Tuesday,Labor,445,487,42,Above_Forecast
2023-03-07,2023,March,Tuesday,Rent,225,245,20,Above_Forecast
2023-03-07,2023,March,Tuesday,Utilities,169,181,12,Above_Forecast
2023-03-07,2023,March,Tuesday,Marketing,224,204,-20,Below_Forecast
2023-03-08,2023,March,Wednesday,"Coffee Sales",695,658,-37,Below_Forecast
2023-03-08,2023,March,Wednesday,"Food Sales",623,678,55,Above_Forecast
2023-03-08,2023,March,Wednesday,"Ingredients Cost",320,321,1,Above_Forecast
2023-03-08,2023,March,Wednesday,Labor,335,303,-32,Below_Forecast
2023-03-08,2023,March,Wednesday,Rent,408,414,6,Above_Forecast
2023-03-08,2023,March,Wednesday,Utilities,401,387,-14,Below_Forecast
2023-03-08,2023,March,Wednesday,Marketing,492,526,34,Above_Forecast
2023-03-09,2023,March,Thursday,"Coffee Sales",807,749,-58,Below_Forecast
2023-03-09,2023,March,Thursday,"Food Sales",307,323,16,Above_Forecast
2023-03-09,2023,March,Thursday,"Ingredients Cost",398,404,6,Above_Forecast
2023-03-09,2023,March,Thursday,Labor,205,190,-15,Below_Forecast
2023-03-09,2023,March,Thursday,Rent,363,384,21,Above_Forecast
2023-03-09,2023,March,Thursday,Utilities,151,158,7,Above_Forecast
2023-03-09,2023,March,Thursday,Marketing,107,110,3,Above_Forecast
2023-03-10,2023,March,Friday,"Coffee Sales",305,294,-11,Below_Forecast
2023-03-10,2023,March,Friday,"Food Sales",809,838,29,Above_Forecast
2023-03-10,2023,March,Friday,"Ingredients Cost",183,193,10,Above_Forecast
2023-03-10,2023,March,Friday,Labor,446,415,-31,Below_Forecast
2023-03-10,2023,March,Friday,Rent,376,399,23,Above_Forecast
2023-03-10,2023,March,Friday,Utilities,272,246,-26,Below_Forecast
2023-03-10,2023,March,Friday,Marketing,499,509,10,Above_Forecast
2023-03-11,2023,March,Saturday,"Coffee Sales",910,921,11,Above_Forecast
2023-03-11,2023,March,Saturday,"Food Sales",378,359,-19,Below_Forecast
2023-03-11,2023,March,Saturday,"Ingredients Cost",231,232,1,Above_Forecast
2023-03-11,2023,March,Saturday,Labor,239,258,19,Above_Forecast
2023-03-11,2023,March,Saturday,Rent,290,262,-28,Below_Forecast
2023-03-11,2023,March,Saturday,Utilities,329,322,-7,Below_Forecast
2023-03-11,2023,March,Saturday,Marketing,103,98,-5,Below_Forecast
2023-03-12,2023,March,Sunday,"Coffee Sales",416,408,-8,Below_Forecast
2023-03-12,2023,March,Sunday,"Food Sales",938,965,27,Above_Forecast
2023-03-12,2023,March,Sunday,"Ingredients Cost",469,501,32,Above_Forecast
2023-03-12,2023,March,Sunday,Labor,152,151,-1,Below_Forecast
2023-03-12,2023,March,Sunday,Rent,269,261,-8,Below_Forecast
2023-03-12,2023,March,Sunday,Utilities,357,331,-26,Below_Forecast
2023-03-12,2023,March,Sunday,Marketing,425,402,-23,Below_Forecast
2023-03-13,2023,March,Monday,"Coffee Sales",496,499,3,Above_Forecast
2023-03-13,2023,March,Monday,"Food Sales",693,738,45,Above_Forecast
2023-03-13,2023,March,Monday,"Ingredients Cost",416,405,-11,Below_Forecast
2023-03-13,2023,March,Monday,Labor,128,138,10,Above_Forecast
2023-03-13,2023,March,Monday,Rent,222,233,11,Above_Forecast
2023-03-13,2023,March,Monday,Utilities,214,193,-21,Below_Forecast
2023-03-13,2023,March,Monday,Marketing,206,189,-17,Below_Forecast
2023-03-14,2023,March,Tuesday,"Coffee Sales",978,1066,88,Above_Forecast
2023-03-14,2023,March,Tuesday,"Food Sales",626,597,-29,Below_Forecast
2023-03-14,2023,March,Tuesday,"Ingredients Cost",364,346,-18,Below_Forecast
2023-03-14,2023,March,Tuesday,Labor,170,184,14,Above_Forecast
2023-03-14,2023,March,Tuesday,Rent,249,261,12,Above_Forecast
2023-03-14,2023,March,Tuesday,Utilities,203,207,4,Above_Forecast
2023-03-14,2023,March,Tuesday,Marketing,353,362,9,Above_Forecast
2023-03-15,2023,March,Wednesday,"Coffee Sales",522,559,37,Above_Forecast
2023-03-15,2023,March,Wednesday,"Food Sales",880,837,-43,Below_Forecast
2023-03-15,2023,March,Wednesday,"Ingredients Cost",269,252,-17,Below_Forecast
2023-03-15,2023,March,Wednesday,Labor,411,418,7,Above_Forecast
2023-03-15,2023,March,Wednesday,Rent,155,142,-13,Below_Forecast
2023-03-15,2023,March,Wednesday,Utilities,490,461,-29,Below_Forecast
2023-03-15,2023,March,Wednesday,Marketing,216,204,-12,Below_Forecast
2023-03-16,2023,March,Thursday,"Coffee Sales",741,774,33,Above_Forecast
2023-03-16,2023,March,Thursday,"Food Sales",233,241,8,Above_Forecast
2023-03-16,2023,March,Thursday,"Ingredients Cost",161,175,14,Above_Forecast
2023-03-16,2023,March,Thursday,Labor,286,313,27,Above_Forecast
2023-03-16,2023,March,Thursday,Rent,365,348,-17,Below_Forecast
2023-03-16,2023,March,Thursday,Utilities,242,250,8,Above_Forecast
2023-03-16,2023,March,Thursday,Marketing,106,99,-7,Below_Forecast
2023-03-17,2023,March,Friday,"Coffee Sales",241,263,22,Above_Forecast
2023-03-17,2023,March,Friday,"Food Sales",958,1027,69,Above_Forecast
2023-03-17,2023,March,Friday,"Ingredients Cost",200,195,-5,Below_Forecast
2023-03-17,2023,March,Friday,Labor,414,449,35,Above_Forecast
2023-03-17,2023,March,Friday,Rent,201,206,5,Above_Forecast
2023-03-17,2023,March,Friday,Utilities,290,265,-25,Below_Forecast
2023-03-17,2023,March,Friday,Marketing,146,155,9,Above_Forecast
2023-03-18,2023,March,Saturday,"Coffee Sales",464,425,-39,Below_Forecast
2023-03-18,2023,March,Saturday,"Food Sales",637,696,59,Above_Forecast
2023-03-18,2023,March,Saturday,"Ingredients Cost",328,346,18,Above_Forecast
2023-03-18,2023,March,Saturday,Labor,198,215,17,Above_Forecast
2023-03-18,2023,March,Saturday,Rent,214,203,-11,Below_Forecast
2023-03-18,2023,March,Saturday,Utilities,161,154,-7,Below_Forecast
2023-03-18,2023,March,Saturday,Marketing,371,388,17,Above_Forecast
2023-03-19,2023,March,Sunday,"Coffee Sales",842,773,-69,Below_Forecast
2023-03-19,2023,March,Sunday,"Food Sales",358,365,7,Above_Forecast
2023-03-19,2023,March,Sunday,"Ingredients Cost",308,288,-20,Below_Forecast
2023-03-19,2023,March,Sunday,Labor,179,178,-1,Below_Forecast
2023-03-19,2023,March,Sunday,Rent,103,110,7,Above_Forecast
2023-03-19,2023,March,Sunday,Utilities,213,213,0,Above_Forecast
2023-03-19,2023,March,Sunday,Marketing,408,403,-5,Below_Forecast
2023-03-20,2023,March,Monday,"Coffee Sales",347,380,33,Above_Forecast
2023-03-20,2023,March,Monday,"Food Sales",751,695,-56,Below_Forecast
2023-03-20,2023,March,Monday,"Ingredients Cost",154,151,-3,Below_Forecast
2023-03-20,2023,March,Monday,Labor,128,133,5,Above_Forecast
2023-03-20,2023,March,Monday,Rent,397,418,21,Above_Forecast
2023-03-20,2023,March,Monday,Utilities,258,233,-25,Below_Forecast
2023-03-20,2023,March,Monday,Marketing,168,182,14,Above_Forecast
2023-03-21,2023,March,Tuesday,"Coffee Sales",241,254,13,Above_Forecast
2023-03-21,2023,March,Tuesday,"Food Sales",712,677,-35,Below_Forecast
2023-03-21,2023,March,Tuesday,"Ingredients Cost",484,512,28,Above_Forecast
2023-03-21,2023,March,Tuesday,Labor,469,499,30,Above_Forecast
2023-03-21,2023,March,Tuesday,Rent,188,197,9,Above_Forecast
2023-03-21,2023,March,Tuesday,Utilities,362,385,23,Above_Forecast
2023-03-21,2023,March,Tuesday,Marketing,431,407,-24,Below_Forecast
2023-03-22,2023,March,Wednesday,"Coffee Sales",821,852,31,Above_Forecast
2023-03-22,2023,March,Wednesday,"Food Sales",918,995,77,Above_Forecast
2023-03-22,2023,March,Wednesday,"Ingredients Cost",181,189,8,Above_Forecast
2023-03-22,2023,March,Wednesday,Labor,357,332,-25,Below_Forecast
2023-03-22,2023,March,Wednesday,Rent,373,356,-17,Below_Forecast
2023-03-22,2023,March,Wednesday,Utilities,152,141,-11,Below_Forecast
2023-03-22,2023,March,Wednesday,Marketing,225,244,19,Above_Forecast
2023-03-23,2023,March,Thursday,"Coffee Sales",974,1050,76,Above_Forecast
2023-03-23,2023,March,Thursday,"Food Sales",867,810,-57,Below_Forecast
2023-03-23,2023,March,Thursday,"Ingredients Cost",458,434,-24,Below_Forecast
2023-03-23,2023,March,Thursday,Labor,151,152,1,Above_Forecast
2023-03-23,2023,March,Thursday,Rent,453,442,-11,Below_Forecast
2023-03-23,2023,March,Thursday,Utilities,156,162,6,Above_Forecast
2023-03-23,2023,March,Thursday,Marketing,242,229,-13,Below_Forecast
2023-03-24,2023,March,Friday,"Coffee Sales",254,245,-9,Below_Forecast
2023-03-24,2023,March,Friday,"Food Sales",871,945,74,Above_Forecast
2023-03-24,2023,March,Friday,"Ingredients Cost",391,415,24,Above_Forecast
2023-03-24,2023,March,Friday,Labor,405,426,21,Above_Forecast
2023-03-24,2023,March,Friday,Rent,486,488,2,Above_Forecast
2023-03-24,2023,March,Friday,Utilities,192,208,16,Above_Forecast
2023-03-24,2023,March,Friday,Marketing,251,242,-9,Below_Forecast
2023-03-25,2023,March,Saturday,"Coffee Sales",515,553,38,Above_Forecast
2023-03-25,2023,March,Saturday,"Food Sales",388,355,-33,Below_Forecast
2023-03-25,2023,March,Saturday,"Ingredients Cost",178,174,-4,Below_Forecast
2023-03-25,2023,March,Saturday,Labor,308,305,-3,Below_Forecast
2023-03-25,2023,March,Saturday,Rent,306,334,28,Above_Forecast
2023-03-25,2023,March,Saturday,Utilities,357,326,-31,Below_Forecast
2023-03-25,2023,March,Saturday,Marketing,199,184,-15,Below_Forecast
2023-03-26,2023,March,Sunday,"Coffee Sales",586,562,-24,Below_Forecast
2023-03-26,2023,March,Sunday,"Food Sales",666,692,26,Above_Forecast
2023-03-26,2023,March,Sunday,"Ingredients Cost",391,384,-7,Below_Forecast
2023-03-26,2023,March,Sunday,Labor,253,229,-24,Below_Forecast
2023-03-26,2023,March,Sunday,Rent,416,436,20,Above_Forecast
2023-03-26,2023,March,Sunday,Utilities,221,205,-16,Below_Forecast
2023-03-26,2023,March,Sunday,Marketing,105,109,4,Above_Forecast
2023-03-27,2023,March,Monday,"Coffee Sales",235,222,-13,Below_Forecast
2023-03-27,2023,March,Monday,"Food Sales",432,455,23,Above_Forecast
2023-03-27,2023,March,Monday,"Ingredients Cost",146,151,5,Above_Forecast
2023-03-27,2023,March,Monday,Labor,352,386,34,Above_Forecast
2023-03-27,2023,March,Monday,Rent,461,442,-19,Below_Forecast
2023-03-27,2023,March,Monday,Utilities,124,136,12,Above_Forecast
2023-03-27,2023,March,Monday,Marketing,338,344,6,Above_Forecast
2023-03-28,2023,March,Tuesday,"Coffee Sales",951,1006,55,Above_Forecast
2023-03-28,2023,March,Tuesday,"Food Sales",779,798,19,Above_Forecast
2023-03-28,2023,March,Tuesday,"Ingredients Cost",413,397,-16,Below_Forecast
2023-03-28,2023,March,Tuesday,Labor,473,467,-6,Below_Forecast
2023-03-28,2023,March,Tuesday,Rent,261,237,-24,Below_Forecast
2023-03-28,2023,March,Tuesday,Utilities,401,381,-20,Below_Forecast
2023-03-28,2023,March,Tuesday,Marketing,373,388,15,Above_Forecast
2023-03-29,2023,March,Wednesday,"Coffee Sales",754,685,-69,Below_Forecast
2023-03-29,2023,March,Wednesday,"Food Sales",747,760,13,Above_Forecast
2023-03-29,2023,March,Wednesday,"Ingredients Cost",200,180,-20,Below_Forecast
2023-03-29,2023,March,Wednesday,Labor,141,145,4,Above_Forecast
2023-03-29,2023,March,Wednesday,Rent,278,259,-19,Below_Forecast
2023-03-29,2023,March,Wednesday,Utilities,488,463,-25,Below_Forecast
2023-03-29,2023,March,Wednesday,Marketing,293,294,1,Above_Forecast
2023-03-30,2023,March,Thursday,"Coffee Sales",874,800,-74,Below_Forecast
2023-03-30,2023,March,Thursday,"Food Sales",824,741,-83,Below_Forecast
2023-03-30,2023,March,Thursday,"Ingredients Cost",194,208,14,Above_Forecast
2023-03-30,2023,March,Thursday,Labor,399,434,35,Above_Forecast
2023-03-30,2023,March,Thursday,Rent,495,528,33,Above_Forecast
2023-03-30,2023,March,Thursday,Utilities,405,373,-32,Below_Forecast
2023-03-30,2023,March,Thursday,Marketing,122,111,-11,Below_Forecast
2023-03-31,2023,March,Friday,"Coffee Sales",923,968,45,Above_Forecast
2023-03-31,2023,March,Friday,"Food Sales",256,271,15,Above_Forecast
2023-03-31,2023,March,Friday,"Ingredients Cost",181,191,10,Above_Forecast
2023-03-31,2023,March,Friday,Labor,307,324,17,Above_Forecast
2023-03-31,2023,March,Friday,Rent,157,156,-1,Below_Forecast
2023-03-31,2023,March,Friday,Utilities,491,486,-5,Below_Forecast
2023-03-31,2023,March,Friday,Marketing,338,348,10,Above_Forecast
2023-04-01,2023,April,Saturday,"Coffee Sales",598,563,-35,Below_Forecast
2023-04-01,2023,April,Saturday,"Food Sales",602,597,-5,Below_Forecast
2023-04-01,2023,April,Saturday,"Ingredients Cost",217,214,-3,Below_Forecast
2023-04-01,2023,April,Saturday,Labor,141,130,-11,Below_Forecast
2023-04-01,2023,April,Saturday,Rent,481,499,18,Above_Forecast
2023-04-01,2023,April,Saturday,Utilities,455,471,16,Above_Forecast
2023-04-01,2023,April,Saturday,Marketing,259,260,1,Above_Forecast
2023-04-02,2023,April,Sunday,"Coffee Sales",289,294,5,Above_Forecast
2023-04-02,2023,April,Sunday,"Food Sales",565,582,17,Above_Forecast
2023-04-02,2023,April,Sunday,"Ingredients Cost",268,250,-18,Below_Forecast
2023-04-02,2023,April,Sunday,Labor,355,336,-19,Below_Forecast
2023-04-02,2023,April,Sunday,Rent,485,460,-25,Below_Forecast
2023-04-02,2023,April,Sunday,Utilities,301,276,-25,Below_Forecast
2023-04-02,2023,April,Sunday,Marketing,229,250,21,Above_Forecast
2023-04-03,2023,April,Monday,"Coffee Sales",221,239,18,Above_Forecast
2023-04-03,2023,April,Monday,"Food Sales",845,781,-64,Below_Forecast
2023-04-03,2023,April,Monday,"Ingredients Cost",214,232,18,Above_Forecast
2023-04-03,2023,April,Monday,Labor,173,171,-2,Below_Forecast
2023-04-03,2023,April,Monday,Rent,304,279,-25,Below_Forecast
2023-04-03,2023,April,Monday,Utilities,117,123,6,Above_Forecast
2023-04-03,2023,April,Monday,Marketing,165,150,-15,Below_Forecast
2023-04-04,2023,April,Tuesday,"Coffee Sales",582,559,-23,Below_Forecast
2023-04-04,2023,April,Tuesday,"Food Sales",816,768,-48,Below_Forecast
2023-04-04,2023,April,Tuesday,"Ingredients Cost",339,370,31,Above_Forecast
2023-04-04,2023,April,Tuesday,Labor,133,127,-6,Below_Forecast
2023-04-04,2023,April,Tuesday,Rent,123,131,8,Above_Forecast
2023-04-04,2023,April,Tuesday,Utilities,471,481,10,Above_Forecast
2023-04-04,2023,April,Tuesday,Marketing,254,229,-25,Below_Forecast
2023-04-05,2023,April,Wednesday,"Coffee Sales",652,654,2,Above_Forecast
2023-04-05,2023,April,Wednesday,"Food Sales",899,916,17,Above_Forecast
2023-04-05,2023,April,Wednesday,"Ingredients Cost",233,237,4,Above_Forecast
2023-04-05,2023,April,Wednesday,Labor,199,196,-3,Below_Forecast
2023-04-05,2023,April,Wednesday,Rent,431,448,17,Above_Forecast
2023-04-05,2023,April,Wednesday,Utilities,185,167,-18,Below_Forecast
2023-04-05,2023,April,Wednesday,Marketing,464,451,-13,Below_Forecast
2023-04-06,2023,April,Thursday,"Coffee Sales",977,882,-95,Below_Forecast
2023-04-06,2023,April,Thursday,"Food Sales",889,841,-48,Below_Forecast
2023-04-06,2023,April,Thursday,"Ingredients Cost",395,416,21,Above_Forecast
2023-04-06,2023,April,Thursday,Labor,381,389,8,Above_Forecast
2023-04-06,2023,April,Thursday,Rent,350,357,7,Above_Forecast
2023-04-06,2023,April,Thursday,Utilities,417,422,5,Above_Forecast
2023-04-06,2023,April,Thursday,Marketing,112,113,1,Above_Forecast
2023-04-07,2023,April,Friday,"Coffee Sales",932,872,-60,Below_Forecast
2023-04-07,2023,April,Friday,"Food Sales",863,786,-77,Below_Forecast
2023-04-07,2023,April,Friday,"Ingredients Cost",468,491,23,Above_Forecast
2023-04-07,2023,April,Friday,Labor,128,136,8,Above_Forecast
2023-04-07,2023,April,Friday,Rent,393,378,-15,Below_Forecast
2023-04-07,2023,April,Friday,Utilities,169,165,-4,Below_Forecast
2023-04-07,2023,April,Friday,Marketing,271,248,-23,Below_Forecast
2023-04-08,2023,April,Saturday,"Coffee Sales",921,872,-49,Below_Forecast
2023-04-08,2023,April,Saturday,"Food Sales",228,242,14,Above_Forecast
2023-04-08,2023,April,Saturday,"Ingredients Cost",315,298,-17,Below_Forecast
2023-04-08,2023,April,Saturday,Labor,144,151,7,Above_Forecast
2023-04-08,2023,April,Saturday,Rent,141,134,-7,Below_Forecast
2023-04-08,2023,April,Saturday,Utilities,103,94,-9,Below_Forecast
2023-04-08,2023,April,Saturday,Marketing,243,237,-6,Below_Forecast
2023-04-09,2023,April,Sunday,"Coffee Sales",599,648,49,Above_Forecast
2023-04-09,2023,April,Sunday,"Food Sales",813,787,-26,Below_Forecast
2023-04-09,2023,April,Sunday,"Ingredients Cost",239,259,20,Above_Forecast
2023-04-09,2023,April,Sunday,Labor,277,285,8,Above_Forecast
2023-04-09,2023,April,Sunday,Rent,420,428,8,Above_Forecast
2023-04-09,2023,April,Sunday,Utilities,401,373,-28,Below_Forecast
2023-04-09,2023,April,Sunday,Marketing,109,119,10,Above_Forecast
2023-04-10,2023,April,Monday,"Coffee Sales",679,711,32,Above_Forecast
2023-04-10,2023,April,Monday,"Food Sales",628,612,-16,Below_Forecast
2023-04-10,2023,April,Monday,"Ingredients Cost",298,326,28,Above_Forecast
2023-04-10,2023,April,Monday,Labor,298,271,-27,Below_Forecast
2023-04-10,2023,April,Monday,Rent,366,393,27,Above_Forecast
2023-04-10,2023,April,Monday,Utilities,152,154,2,Above_Forecast
2023-04-10,2023,April,Monday,Marketing,433,466,33,Above_Forecast
2023-04-11,2023,April,Tuesday,"Coffee Sales",223,222,-1,Below_Forecast
2023-04-11,2023,April,Tuesday,"Food Sales",360,356,-4,Below_Forecast
2023-04-11,2023,April,Tuesday,"Ingredients Cost",362,336,-26,Below_Forecast
2023-04-11,2023,April,Tuesday,Labor,431,437,6,Above_Forecast
2023-04-11,2023,April,Tuesday,Rent,252,261,9,Above_Forecast
2023-04-11,2023,April,Tuesday,Utilities,196,212,16,Above_Forecast
2023-04-11,2023,April,Tuesday,Marketing,111,110,-1,Below_Forecast
2023-04-12,2023,April,Wednesday,"Coffee Sales",573,620,47,Above_Forecast
2023-04-12,2023,April,Wednesday,"Food Sales",298,323,25,Above_Forecast
2023-04-12,2023,April,Wednesday,"Ingredients Cost",246,239,-7,Below_Forecast
2023-04-12,2023,April,Wednesday,Labor,314,303,-11,Below_Forecast
2023-04-12,2023,April,Wednesday,Rent,176,158,-18,Below_Forecast
2023-04-12,2023,April,Wednesday,Utilities,433,409,-24,Below_Forecast
2023-04-12,2023,April,Wednesday,Marketing,158,165,7,Above_Forecast
2023-04-13,2023,April,Thursday,"Coffee Sales",532,527,-5,Below_Forecast
2023-04-13,2023,April,Thursday,"Food Sales",292,295,3,Above_Forecast
2023-04-13,2023,April,Thursday,"Ingredients Cost",158,152,-6,Below_Forecast
2023-04-13,2023,April,Thursday,Labor,170,175,5,Above_Forecast
2023-04-13,2023,April,Thursday,Rent,226,206,-20,Below_Forecast
2023-04-13,2023,April,Thursday,Utilities,187,187,0,Above_Forecast
2023-04-13,2023,April,Thursday,Marketing,210,224,14,Above_Forecast
2023-04-14,2023,April,Friday,"Coffee Sales",349,362,13,Above_Forecast
2023-04-14,2023,April,Friday,"Food Sales",519,526,7,Above_Forecast
2023-04-14,2023,April,Friday,"Ingredients Cost",279,283,4,Above_Forecast
2023-04-14,2023,April,Friday,Labor,301,307,6,Above_Forecast
2023-04-14,2023,April,Friday,Rent,336,362,26,Above_Forecast
2023-04-14,2023,April,Friday,Utilities,289,303,14,Above_Forecast
2023-04-14,2023,April,Friday,Marketing,173,175,2,Above_Forecast
2023-04-15,2023,April,Saturday,"Coffee Sales",751,755,4,Above_Forecast
2023-04-15,2023,April,Saturday,"Food Sales",461,474,13,Above_Forecast
2023-04-15,2023,April,Saturday,"Ingredients Cost",307,297,-10,Below_Forecast
2023-04-15,2023,April,Saturday,Labor,246,231,-15,Below_Forecast
2023-04-15,2023,April,Saturday,Rent,366,377,11,Above_Forecast
2023-04-15,2023,April,Saturday,Utilities,137,130,-7,Below_Forecast
2023-04-15,2023,April,Saturday,Marketing,293,274,-19,Below_Forecast
2023-04-16,2023,April,Sunday,"Coffee Sales",906,832,-74,Below_Forecast
